GeneID	Ensembl_protein_identifier
11670	ENSMUSP00000104356.2
11670	ENSMUSP00000019246.4
11671	ENSMUSP00000073764.8
11671	ENSMUSP00000104355.3
11674	ENSMUSP00000084846.5
11674	ENSMUSP00000101955.2
11674	ENSMUSP00000032934.6
11676	ENSMUSP00000017534.9
11676	ENSMUSP00000099536.4
11677	ENSMUSP00000100045.5
11682	ENSMUSP00000083840.5
11684	ENSMUSP00000000329.3
11685	ENSMUSP00000019051.3
11686	ENSMUSP00000035250.3
11687	ENSMUSP00000019068.7
11688	ENSMUSP00000021262.4
11689	ENSMUSP00000026795.7
11690	ENSMUSP00000071130.4
11692	ENSMUSP00000157249.2
11692	ENSMUSP00000049186.9
11694	ENSMUSP00000014747.2
11695	ENSMUSP00000047962.4
11698	ENSMUSP00000142944.2
11698	ENSMUSP00000031226.8
11699	ENSMUSP00000030041.5
11702	ENSMUSP00000159133.2
11704	ENSMUSP00000065966.6
11704	ENSMUSP00000107748.2
11704	ENSMUSP00000107747.2
11704	ENSMUSP00000107746.2
11705	ENSMUSP00000043153.5
11717	ENSMUSP00000130495.2
11717	ENSMUSP00000149655.2
11717	ENSMUSP00000005829.7
11720	ENSMUSP00000153488.2
11722	ENSMUSP00000070368.6
11722	ENSMUSP00000102150.2
11727	ENSMUSP00000132084.2
11727	ENSMUSP00000067434.8
11731	ENSMUSP00000154100.2
11732	ENSMUSP00000022875.7
11733	ENSMUSP00000113571.3
11733	ENSMUSP00000106316.3
11733	ENSMUSP00000113531.2
11733	ENSMUSP00000113656.2
11733	ENSMUSP00000133322.2
11733	ENSMUSP00000112850.2
11733	ENSMUSP00000033947.9
11733	ENSMUSP00000112966.2
11733	ENSMUSP00000081051.5
11733	-
11733	-
11733	ENSMUSP00000117966.3
11733	ENSMUSP00000113495.3
11735	ENSMUSP00000138285.2
11735	ENSMUSP00000138326.2
11735	ENSMUSP00000090089.5
11735	ENSMUSP00000090088.6
11735	ENSMUSP00000090087.6
11735	ENSMUSP00000138347.2
11735	ENSMUSP00000061698.9
11735	ENSMUSP00000138356.2
11735	ENSMUSP00000138686.2
11735	ENSMUSP00000138337.2
11735	ENSMUSP00000151906.2
11736	ENSMUSP00000118751.2
11737	ENSMUSP00000122165.2
11737	ENSMUSP00000082652.7
11739	ENSMUSP00000034049.5
11740	ENSMUSP00000016463.4
11744	ENSMUSP00000022416.8
11745	ENSMUSP00000031447.8
11746	ENSMUSP00000145421.2
11746	ENSMUSP00000144961.2
