"logFC","logCPM","LR","PValue","FDR","gene_id","entrez_id"
7.56012508957229,2.61177834200495,491.31968288978,7.35639319397581e-109,7.10151580625512e-106,"NM_133764_6_+_1","76252"
5.3600606256887,6.79268908477823,443.081573544519,2.31090614096519e-98,2.10690448218776e-95,"NM_001025388_18_+_1","433182"
-4.27576546224722,2.90525991133849,405.088594792486,4.29762772880817e-90,3.71201940302479e-87,"NR_030675_15_-_1","109361"
3.79098762857168,2.12672453309692,350.711339891484,2.96644096743168e-78,2.43411313582607e-75,"NM_001243916_7_+_1","434218"
-7.37302412782477,1.273626707361,350.257771982843,3.72396990775396e-78,2.91019381695953e-75,"NR_015545_19_+_1","74931"
-8.74985532362459,3.29745883929791,349.894554774102,4.46788315669103e-78,3.33283774929348e-75,"NM_026035_11_+_1","67212"
8.31441622588697,3.66817455879447,345.760342037735,3.55141207039335e-77,2.53400971683588e-74,"NM_021304_5_+_1","57742"
-10.6510925389765,3.81103935155216,336.10284745303,4.50417536235573e-75,3.07991757798417e-72,"NM_001164567_9_+_1","22351"
10.9251736204783,3.17263025535752,329.017126402094,1.57347371406819e-73,1.03289108486292e-70,"NM_011371_11_-_1","20445"
6.71568277737955,-0.122779929850106,328.733045250207,1.81440142286497e-73,1.14523622117835e-70,"NM_001127188_4_-_1","100503584"
6.89573633679056,3.13278352583979,323.215004013631,2.88811522844922e-72,1.75543922274371e-69,"NM_026601_4_+_1","68180"
2.49800577188139,3.29444017694091,305.692712443497,1.89478168554098e-68,1.11054508005047e-65,"NM_178931_4_-_1","230979"
-5.70651305756359,5.31618709447138,284.244264393883,8.92733343315555e-64,5.05194720591433e-61,"NM_001030274_4_-_1","595136"
-5.66094346554978,2.14544428752408,279.47475970698,9.77362056148174e-63,5.34649623448256e-60,"NR_037964_11_-_1","72203"
2.48960998382098,3.44734663437581,269.759361994699,1.28042852851822e-60,6.77842341339111e-58,"NM_024273_16_-_1","76916"
-6.09724620478658,1.43977979824618,259.325414533421,2.40746722779506e-58,1.23465452110452e-55,"NM_026146_7_+_1","67425"
-7.01758524087178,2.51432044222099,252.022846653578,9.40692825054574e-57,4.67809392483958e-54,"NR_015556_11_-_1","72386"
-7.05395616778877,2.10234696414635,247.698781316917,8.24394741562143e-56,3.97915944228715e-53,"NM_001113560_17_-_1","109801"
2.92532082902977,4.03412385793032,244.863100132581,3.42275581649023e-55,1.6048813058406e-52,"NM_027144_9_-_1","69632"
-2.76799859958315,3.53291022043106,240.026957469978,3.87996309578437e-54,1.76872428791437e-51,"NM_001083918_dup1_4_+_1","666532"
-9.15431401131652,1.74964618880701,237.166285189827,1.63153667887749e-53,7.23652660461038e-51,"NM_001113461_5_-_1","21682"
4.54083504422731,4.25922284394536,229.998525241529,5.96573839658005e-52,2.57641402174408e-49,"NM_001160415_15_+_1","80287"
-1.79932997905066,4.43874575767329,229.721974781828,6.85449406027389e-52,2.88433594931166e-49,"NM_011507_6_-_1","20917"
10.7384162803973,3.5386995065807,223.98583042792,1.22181918776769e-50,5.01281867261389e-48,"NM_008327_1_-_1","26388"
-3.6565552267273,7.56839428546125,220.784772235864,6.09826243838181e-50,2.44094109454351e-47,"NM_009082_9_+_1","19944"
5.02295945883185,5.67318728879848,216.706243719529,4.72998723439914e-49,1.84818620246963e-46,"NM_013546_6_-_1","15199"
-1.95618421003256,2.41292357661763,211.640625517911,6.02468429924047e-48,2.29932776825198e-45,"NM_001123372_17_+_1","100041621"
-7.05742783638458,3.49716216998217,205.605921369096,1.24904051326099e-46,4.65863724161958e-44,"NM_001177350_1_-_1","623121"
-7.89875120803847,4.5908008540585,201.594472487853,9.37322508687521e-46,3.41831104223798e-43,"NM_001146007_7_-_1","319236"
2.30356336912861,2.84100224192119,198.397642906704,4.67206579330957e-45,1.66681025508703e-42,"NM_001005788_4_-_1","381549"
4.41741215010812,1.85264682174987,194.796143947113,2.85432294975488e-44,9.96644551668666e-42,"NR_030719_7_-_1","668108"
-8.7125000617078,2.85118547301743,193.281737201813,6.10984353565419e-44,2.08893004715877e-41,"NR_027858_11_-_1","627984"
-3.6665783378149,3.83082993999625,191.07974047709,1.84778078285727e-43,6.18855723009607e-41,"NM_175654_13_+_1","319156"
2.91711957660016,3.85414335636177,189.044116968292,5.1402277123441e-43,1.68712553974558e-40,"NM_001110496_2_-_1","211499"
